,objectID,dimensions,width,height,depth
85,1976.9.17,264.2 x 174.0 x nan cm,264.2,174.0,
86,1976.9.18,90.2 x 44.5 x nan cm,90.2,44.5,
87,1976.9.19,153.7 x 110.5 x nan cm,153.7,110.5,
88,1976.9.2,115.6 x 90.2 x nan cm,115.6,90.2,
89,1976.9.3,142.2 x 102.9 x nan cm,142.2,102.9,
90,1976.9.4,157.5 x 160.0 x nan cm,157.5,160.0,
91,1976.9.5,132.1 x 134.6 x nan cm,132.1,134.6,
92,1976.9.6,223.5 x 132.1 x nan cm,223.5,132.1,
93,1976.9.7,152.4 x 188.0 x nan cm,152.4,188.0,
94,1976.9.8,185.4 x 116.8 x nan cm,185.4,116.8,
95,1976.9.9,153.7 x 81.3 x nan cm,153.7,81.3,
96,1977.50.40,213.4 x 129.5 x nan cm,213.4,129.5,
97,1977.50.42,182.9 x 111.8 x nan cm,182.9,111.8,
98,1977.50.44,421.6 x 116.8 x nan cm,421.6,116.8,
99,1977.50.47,259.1 x 121.9 x nan cm,259.1,121.9,
100,1977.58.1,127.6 x 142.2 x nan cm,127.6,142.2,
101,1977.59.53,23.5 x 30.2 x nan cm,23.5,30.2,
102,1977.59.55,28.6 x 38.7 x nan cm,28.6,38.7,
103,1977.59.59,32.4 x 51.4 x nan cm,32.4,51.4,
104,1978.1.1,35.6 x 48.3 x nan cm,35.6,48.3,
105,1978.23.10,68.6 x 368.3 x nan cm,68.6,368.3,
106,1978.23.9,73.7 x 121.9 x nan cm,73.7,121.9,
107,1978.53.11,112.0 x 94.0 x nan cm,112.0,94.0,
108,1978.53.28,53.3 x 198.1 x nan cm,53.3,198.1,
109,1978.53.31,54.6 x 111.1 x nan cm,54.6,111.1,
110,1978.53.32,76.2 x 167.6 x nan cm,76.2,167.6,
111,1978.53.33,83.8 x 157.5 x nan cm,83.8,157.5,
112,1978.53.34,96.0 x 51.0 x nan cm,96.0,51.0,
113,1978.53.43,95.0 x 190.0 x nan cm,95.0,190.0,
114,1978.53.44,86.4 x 96.5 x nan cm,86.4,96.5,
115,1978.53.45,163.8 x 69.9 x nan cm,163.8,69.9,
116,1978.53.8,100.0 x 150.0 x nan cm,100.0,150.0,
117,1979.18.4.F,81.9 x 62.2 x nan cm,81.9,62.2,
118,1979.51.1,63.5 x 40.6 x nan cm,63.5,40.6,
119,1979.51.2,63.5 x 40.6 x nan cm,63.5,40.6,
120,1979.51.3,63.5 x 40.6 x nan cm,63.5,40.6,
121,1979.64.1,499.1 x 139.7 x nan cm,499.1,139.7,
122,1979.71.7,92.7 x 65.7 x nan cm,92.7,65.7,
123,1980.1.3,54.6 x 41.9 x nan cm,54.6,41.9,
124,1980.30.1,105.4 x 154.9 x nan cm,105.4,154.9,
125,1980.30.2,81.3 x 144.8 x nan cm,81.3,144.8,
126,1980.32.1,353.1 x 94.0 x nan cm,353.1,94.0,
127,1980.32.2,353.1 x 94.0 x nan cm,353.1,94.0,
128,1980.32.3,353.1 x 94.0 x nan cm,353.1,94.0,
129,1980.32.4,353.1 x 94.0 x nan cm,353.1,94.0,
130,1980.32.5,127.0 x 80.6 x nan cm,127.0,80.6,
131,1980.35.1,63.5 x 40.6 x nan cm,63.5,40.6,
132,1980.35.2,63.5 x 40.6 x nan cm,63.5,40.6,
133,1980.35.3,63.5 x 40.6 x nan cm,63.5,40.6,
134,1980.71.1,40.6 x 50.8 x nan cm,40.6,50.8,
135,1980.81.5,56.5 x 41.3 x nan cm,56.5,41.3,
136,1980.98.3,62.2 x 52.1 x 6.4 cm,62.2,52.1,6.4
137,1980.98.4,62.2 x 52.1 x 7.6 cm,62.2,52.1,7.6
138,1981.14.10,86.4 x 127.0 x nan cm,86.4,127.0,
139,1981.14.11,101.6 x 167.6 x nan cm,101.6,167.6,
140,1981.14.12,101.0 x 166.4 x nan cm,101.0,166.4,
141,1981.14.13,210.8 x 153.7 x nan cm,210.8,153.7,
142,1981.14.6,50.2 x 96.5 x nan cm,50.2,96.5,
143,1981.14.9,87.0 x 145.4 x nan cm,87.0,145.4,
144,1981.25.3,55.2 x 40.6 x nan cm,55.2,40.6,
145,1981.26.1,41.3 x 31.1 x 1.3 cm,41.3,31.1,1.3
146,1982.24.1.1,11.4 x 7.6 x nan cm,11.4,7.6,
147,1982.24.1.2,11.4 x 7.6 x nan cm,11.4,7.6,
148,1982.27.1,132.1 x 124.5 x nan cm,132.1,124.5,
149,1982.27.13,124.5 x 144.8 x nan cm,124.5,144.8,
